Call Number,Unit ID,Incident Number,Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhood  District,Location,RowID
163663972,E06,16146984,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:39:55 PM,12/31/2016 11:40:26 PM,12/31/2016 11:42:30 PM,12/31/2016 11:44:02 PM,,,,Gone on Arrival,12/31/2016 11:44:29 PM,19TH ST/HARTFORD ST,San Francisco,94114,B06,06,5437,2,2,2,true,Potentially Life-Threatening,1,ENGINE,3,6,8,Castro/Upper Market,"(37.7593563075368, -122.433744544533)",163663972-E06
163663972,AM305,16146984,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:39:55 PM,12/31/2016 11:40:26 PM,12/31/2016 11:43:42 PM,12/31/2016 11:43:53 PM,12/31/2016 11:51:52 PM,,,Gone on Arrival,12/31/2016 11:52:14 PM,19TH ST/HARTFORD ST,San Francisco,94114,B06,06,5437,2,2,2,false,Potentially Life-Threatening,1,PRIVATE,1,6,8,Castro/Upper Market,"(37.7593563075368, -122.433744544533)",163663972-AM305
163663972,AM224,16146984,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:39:55 PM,12/31/2016 11:40:26 PM,12/31/2016 11:42:30 PM,12/31/2016 11:43:15 PM,12/31/2016 11:51:54 PM,,,Gone on Arrival,12/31/2016 11:52:33 PM,19TH ST/HARTFORD ST,San Francisco,94114,B06,06,5437,2,2,2,false,Potentially Life-Threatening,1,PRIVATE,2,6,8,Castro/Upper Market,"(37.7593563075368, -122.433744544533)",163663972-AM224
163663970,E01,16146983,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:38:57 PM,12/31/2016 11:40:20 PM,12/31/2016 11:40:49 PM,12/31/2016 11:42:29 PM,,,,Code 2 Transport,12/31/2016 11:47:12 PM,200 Block of EDDY ST,San Francisco,94102,B03,01,1453,3,3,3,true,Potentially Life-Threatening,1,ENGINE,2,3,6,Tenderloin,"(37.7839825587491, -122.411762530716)",163663970-E01
163663970,53,16146983,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:38:57 PM,12/31/2016 11:40:20 PM,12/31/2016 11:40:49 PM,12/31/2016 11:40:52 PM,12/31/2016 11:45:25 PM,01/01/2017 12:06:03 AM,01/01/2017 12:17:42 AM,Code 2 Transport,01/01/2017 12:41:36 AM,200 Block of EDDY ST,San Francisco,94102,B03,01,1453,3,3,3,true,Potentially Life-Threatening,1,MEDIC,1,3,6,Tenderloin,"(37.7839825587491, -122.411762530716)",163663970-53
163663962,EMS6,16146982,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:36:30 PM,12/31/2016 11:38:10 PM,12/31/2016 11:39:54 PM,12/31/2016 11:40:56 PM,12/31/2016 11:40:57 PM,,,Code 2 Transport,12/31/2016 11:44:09 PM,1000 Block of POLK ST,San Francisco,94109,B04,03,3121,3,3,3,false,Potentially Life-Threatening,1,CHIEF,2,4,6,Tenderloin,"(37.7861172118379, -122.419854245692)",163663962-EMS6
163663962,E03,16146982,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:36:30 PM,12/31/2016 11:38:10 PM,12/31/2016 11:38:37 PM,12/31/2016 11:39:38 PM,12/31/2016 11:40:36 PM,,,Code 2 Transport,12/31/2016 11:44:15 PM,1000 Block of POLK ST,San Francisco,94109,B04,03,3121,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,4,6,Tenderloin,"(37.7861172118379, -122.419854245692)",163663962-E03
163663962,52,16146982,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:36:30 PM,12/31/2016 11:38:10 PM,12/31/2016 11:38:37 PM,12/31/2016 11:38:49 PM,12/31/2016 11:41:42 PM,01/01/2017 12:02:50 AM,01/01/2017 12:12:53 AM,Code 2 Transport,01/01/2017 12:35:38 AM,1000 Block of POLK ST,San Francisco,94109,B04,03,3121,3,3,3,true,Potentially Life-Threatening,1,MEDIC,3,4,6,Tenderloin,"(37.7861172118379, -122.419854245692)",163663962-52
163663955,KM12,16146981,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:36:59 PM,12/31/2016 11:36:59 PM,12/31/2016 11:37:31 PM,12/31/2016 11:38:12 PM,12/31/2016 11:51:21 PM,,,Patient Declined Transport,01/01/2017 12:44:53 AM,4TH ST/BRYANT ST,San Francisco,94107,B03,08,2217,2,2,2,false,Non Life-threatening,1,PRIVATE,1,3,6,South of Market,"(37.7795669099357, -122.398059940086)",163663955-KM12
163663923,E08,16146980,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:27:17 PM,12/31/2016 11:27:17 PM,12/31/2016 11:28:16 PM,12/31/2016 11:29:39 PM,12/31/2016 11:33:52 PM,,,SFPD,12/31/2016 11:41:15 PM,BRYANT ST/MAIN ST,San Francisco,94105,B03,35,2121,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,3,6,Financial District/South Beach,"(37.7868986775116, -122.388779437164)",163663923-E08
163663923,67,16146980,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:27:17 PM,12/31/2016 11:27:17 PM,12/31/2016 11:28:16 PM,12/31/2016 11:28:25 PM,12/31/2016 11:36:56 PM,,,SFPD,12/31/2016 11:43:02 PM,BRYANT ST/MAIN ST,San Francisco,94105,B03,35,2121,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,3,6,Financial District/South Beach,"(37.7868986775116, -122.388779437164)",163663923-67
163663915,E05,16146979,Electrical Hazard,12/31/2016,12/31/2016,12/31/2016 11:24:13 PM,12/31/2016 11:25:34 PM,12/31/2016 11:26:02 PM,12/31/2016 11:26:14 PM,12/31/2016 11:30:08 PM,,,Fire,12/31/2016 11:33:17 PM,3000 Block of FILLMORE ST,San Francisco,94123,B04,16,3552,3,3,3,true,Alarm,1,ENGINE,1,4,2,Marina,"(37.7975463638138, -122.43565236707)",163663915-E05
163663910,T03,16146978,Elevator / Escalator Rescue,12/31/2016,12/31/2016,12/31/2016 11:23:10 PM,12/31/2016 11:24:22 PM,12/31/2016 11:25:00 PM,12/31/2016 11:26:29 PM,12/31/2016 11:30:05 PM,,,Fire,01/01/2017 12:06:25 AM,100 Block of GEARY ST,San Francisco,94108,B01,01,1323,3,3,3,false,Alarm,1,TRUCK,1,1,3,Financial District/South Beach,"(37.7877209923178, -122.405826623955)",163663910-T03
163663909,79,16146977,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:22:34 PM,12/31/2016 11:23:21 PM,12/31/2016 11:26:30 PM,12/31/2016 11:26:45 PM,12/31/2016 11:41:44 PM,12/31/2016 11:56:46 PM,01/01/2017 12:07:11 AM,Code 2 Transport,01/01/2017 12:34:48 AM,ILLINOIS ST/MARIN ST,San Francisco,94124,B10,25,2641,2,2,2,true,Potentially Life-Threatening,1,MEDIC,1,10,10,Bayview Hunters Point,"(37.7490658211877, -122.3864279303)",163663909-79
163663904,E09,16146976,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:20:02 PM,12/31/2016 11:22:31 PM,12/31/2016 11:25:31 PM,12/31/2016 11:29:18 PM,12/31/2016 11:29:18 PM,,,Code 2 Transport,12/31/2016 11:42:32 PM,FLOWER ST/BAYSHORE BL,San Francisco,94124,B10,09,6376,2,2,2,true,Non Life-threatening,1,ENGINE,1,10,9,Bayview Hunters Point,"(37.742456753214, -122.405581425779)",163663904-E09
163663904,65,16146976,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:20:02 PM,12/31/2016 11:22:31 PM,12/31/2016 11:25:31 PM,12/31/2016 11:26:38 PM,12/31/2016 11:37:05 PM,12/31/2016 11:46:21 PM,12/31/2016 11:51:57 PM,Code 2 Transport,01/01/2017 12:23:33 AM,FLOWER ST/BAYSHORE BL,San Francisco,94124,B10,09,6376,2,2,2,true,Non Life-threatening,1,MEDIC,2,10,9,Bayview Hunters Point,"(37.742456753214, -122.405581425779)",163663904-65
163663892,RC1,16146974,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:18:33 PM,12/31/2016 11:20:09 PM,12/31/2016 11:35:08 PM,12/31/2016 11:37:29 PM,12/31/2016 11:39:33 PM,,,Code 3 Transport,01/01/2017 12:10:54 AM,0 Block of BEACH ST,San Francisco,94133,B01,28,0939,2,E,3,true,Potentially Life-Threatening,1,RESCUE CAPTAIN,3,1,3,North Beach,"(37.8080500969059, -122.409877282931)",163663892-RC1
163663892,E28,16146974,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:18:33 PM,12/31/2016 11:20:09 PM,12/31/2016 11:35:08 PM,12/31/2016 11:35:22 PM,12/31/2016 11:37:51 PM,12/31/2016 11:45:14 PM,01/01/2017 12:11:28 AM,Code 3 Transport,01/01/2017 12:19:47 AM,0 Block of BEACH ST,San Francisco,94133,B01,28,0939,2,E,3,true,Potentially Life-Threatening,1,ENGINE,1,1,3,North Beach,"(37.8080500969059, -122.409877282931)",163663892-E28
163663892,85,16146974,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:18:33 PM,12/31/2016 11:20:09 PM,12/31/2016 11:24:19 PM,12/31/2016 11:24:26 PM,12/31/2016 11:38:25 PM,12/31/2016 11:45:14 PM,01/01/2017 12:00:08 AM,Code 3 Transport,01/01/2017 12:54:52 AM,0 Block of BEACH ST,San Francisco,94133,B01,28,0939,2,E,3,true,Potentially Life-Threatening,1,MEDIC,2,1,3,North Beach,"(37.8080500969059, -122.409877282931)",163663892-85
163663888,E38,16146973,Outside Fire,12/31/2016,12/31/2016,12/31/2016 11:18:39 PM,12/31/2016 11:19:50 PM,12/31/2016 11:23:23 PM,12/31/2016 11:24:41 PM,12/31/2016 11:27:58 PM,,,Fire,12/31/2016 11:32:21 PM,BUCHANAN ST/LOMBARD ST,San Francisco,94123,B04,16,3444,3,3,3,true,Fire,1,ENGINE,1,4,2,Marina,"(37.8002601138757, -122.43276049041)",163663888-E38
163663887,GATOR2,16146972,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:17:29 PM,12/31/2016 11:19:30 PM,12/31/2016 11:21:35 PM,12/31/2016 11:23:11 PM,,,,Code 2 Transport,12/31/2016 11:39:12 PM,MAIN ST/MISSION ST,San Francisco,94105,B99,35,2116,3,3,3,true,Potentially Life-Threatening,1,SUPPORT,2,3,6,Financial District/South Beach,"(37.791842089433, -122.394940238481)",163663887-GATOR2
163663887,91,16146972,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:17:29 PM,12/31/2016 11:19:30 PM,12/31/2016 11:26:19 PM,12/31/2016 11:26:19 PM,12/31/2016 11:28:05 PM,12/31/2016 11:37:04 PM,01/01/2017 12:05:45 AM,Code 2 Transport,01/01/2017 12:18:17 AM,MAIN ST/MISSION ST,San Francisco,94105,B99,35,2116,3,3,3,true,Potentially Life-Threatening,1,MEDIC,1,3,6,Financial District/South Beach,"(37.791842089433, -122.394940238481)",163663887-91
163663886,RC1,16146971,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:19:19 PM,12/31/2016 11:19:19 PM,12/31/2016 11:22:12 PM,,,,,Code 2 Transport,12/31/2016 11:22:35 PM,7TH ST/STEVENSON ST,San Francisco,94103,B02,36,2316,3,E,3,true,Potentially Life-Threatening,1,RESCUE CAPTAIN,5,2,6,South of Market,"(37.7800058680664, -122.411933410089)",163663886-RC1
163663886,EMS10,16146971,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:19:19 PM,12/31/2016 11:19:19 PM,12/31/2016 11:22:12 PM,12/31/2016 11:24:50 PM,,,,Code 2 Transport,12/31/2016 11:27:59 PM,7TH ST/STEVENSON ST,San Francisco,94103,B02,36,2316,3,E,3,false,Potentially Life-Threatening,1,CHIEF,4,2,6,South of Market,"(37.7800058680664, -122.411933410089)",163663886-EMS10
163663886,E36,16146971,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:19:19 PM,12/31/2016 11:19:19 PM,12/31/2016 11:21:19 PM,12/31/2016 11:22:36 PM,,,,Code 2 Transport,12/31/2016 11:34:35 PM,7TH ST/STEVENSON ST,San Francisco,94103,B02,36,2316,3,E,3,true,Potentially Life-Threatening,1,ENGINE,3,2,6,South of Market,"(37.7800058680664, -122.411933410089)",163663886-E36
163663886,AM305,16146971,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:19:19 PM,12/31/2016 11:19:19 PM,12/31/2016 11:23:13 PM,12/31/2016 11:23:13 PM,12/31/2016 11:24:40 PM,,,Code 2 Transport,12/31/2016 11:36:19 PM,7TH ST/STEVENSON ST,San Francisco,94103,B02,36,2316,3,E,3,false,Potentially Life-Threatening,1,PRIVATE,2,2,6,South of Market,"(37.7800058680664, -122.411933410089)",163663886-AM305
163663886,AM26,16146971,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:19:19 PM,12/31/2016 11:19:19 PM,12/31/2016 11:21:19 PM,12/31/2016 11:24:37 PM,12/31/2016 11:24:40 PM,12/31/2016 11:36:16 PM,12/31/2016 11:46:25 PM,Code 2 Transport,01/01/2017 12:10:30 AM,7TH ST/STEVENSON ST,San Francisco,94103,B02,36,2316,3,E,3,false,Potentially Life-Threatening,1,PRIVATE,1,2,6,South of Market,"(37.7800058680664, -122.411933410089)",163663886-AM26
163663884,KM08,16146970,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:16:49 PM,12/31/2016 11:19:11 PM,12/31/2016 11:20:25 PM,12/31/2016 11:21:49 PM,12/31/2016 11:25:37 PM,12/31/2016 11:42:37 PM,01/01/2017 12:05:36 AM,Code 2 Transport,01/01/2017 12:39:32 AM,BROAD ST/PLYMOUTH AV,San Francisco,94112,B09,33,8371,3,3,3,false,Potentially Life-Threatening,1,PRIVATE,2,9,11,Oceanview/Merced/Ingleside,"(37.7131935625496, -122.45605304575)",163663884-KM08
163663884,E33,16146970,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:16:49 PM,12/31/2016 11:19:11 PM,12/31/2016 11:20:25 PM,12/31/2016 11:21:29 PM,12/31/2016 11:24:18 PM,,,Code 2 Transport,12/31/2016 11:41:06 PM,BROAD ST/PLYMOUTH AV,San Francisco,94112,B09,33,8371,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,9,11,Oceanview/Merced/Ingleside,"(37.7131935625496, -122.45605304575)",163663884-E33
163663882,72,16146969,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:18:50 PM,12/31/2016 11:18:50 PM,12/31/2016 11:18:50 PM,12/31/2016 11:18:50 PM,12/31/2016 11:18:50 PM,12/31/2016 11:39:50 PM,12/31/2016 11:52:37 PM,Code 2 Transport,01/01/2017 12:02:28 AM,900 Block of MARKET ST,San Francisco,94103,B02,01,2248,3,3,3,true,Potentially Life-Threatening,1,MEDIC,1,3,6,South of Market,"(37.7826911213472, -122.409536662692)",163663882-72
163663878,E28,16146968,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:18:33 PM,12/31/2016 11:18:33 PM,12/31/2016 11:19:19 PM,12/31/2016 11:19:57 PM,12/31/2016 11:21:35 PM,,,Code 2 Transport,12/31/2016 11:31:22 PM,JEFFERSON ST/JONES ST,San Francisco,94133,B01,28,0945,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,1,3,North Beach,"(37.8080133240409, -122.417445939002)",163663878-E28
163663878,54,16146968,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:18:33 PM,12/31/2016 11:18:33 PM,12/31/2016 11:19:19 PM,12/31/2016 11:19:38 PM,12/31/2016 11:26:17 PM,12/31/2016 11:43:46 PM,01/01/2017 12:10:55 AM,Code 2 Transport,01/01/2017 12:37:49 AM,JEFFERSON ST/JONES ST,San Francisco,94133,B01,28,0945,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,1,3,North Beach,"(37.8080133240409, -122.417445939002)",163663878-54
163663866,T11,16146967,Citizen Assist / Service Call,12/31/2016,12/31/2016,12/31/2016 11:14:57 PM,12/31/2016 11:16:00 PM,12/31/2016 11:16:45 PM,12/31/2016 11:17:51 PM,12/31/2016 11:19:42 PM,,,Fire,12/31/2016 11:27:50 PM,1400 Block of CHURCH ST,San Francisco,94131,B06,11,5547,3,3,3,false,Alarm,1,TRUCK,1,6,8,Noe Valley,"(37.7473004188732, -122.426937897817)",163663866-T11
163663857,KM06,16146966,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:11:29 PM,12/31/2016 11:13:10 PM,12/31/2016 11:14:35 PM,12/31/2016 11:16:24 PM,12/31/2016 11:28:23 PM,,,No Merit,12/31/2016 11:40:14 PM,100 Block of EDDY ST,San Francisco,94102,B03,01,1453,2,2,2,false,Non Life-threatening,1,PRIVATE,1,3,6,Tenderloin,"(37.7841909047888, -122.410119483452)",163663857-KM06
163663852,T07,16146965,Alarms,12/31/2016,12/31/2016,12/31/2016 11:09:15 PM,12/31/2016 11:12:48 PM,12/31/2016 11:13:04 PM,12/31/2016 11:15:59 PM,12/31/2016 11:16:33 PM,,,Fire,12/31/2016 11:21:30 PM,1000 Block of SOUTH VAN NESS AVE,San Francisco,94110,B06,07,5455,3,3,3,false,Alarm,1,TRUCK,2,6,9,Mission,"(37.7563716216308, -122.416574134534)",163663852-T07
163663852,E07,16146965,Alarms,12/31/2016,12/31/2016,12/31/2016 11:09:15 PM,12/31/2016 11:12:48 PM,12/31/2016 11:13:04 PM,12/31/2016 11:13:49 PM,12/31/2016 11:16:19 PM,,,Fire,12/31/2016 11:21:20 PM,1000 Block of SOUTH VAN NESS AVE,San Francisco,94110,B06,07,5455,3,3,3,true,Alarm,1,ENGINE,1,6,9,Mission,"(37.7563716216308, -122.416574134534)",163663852-E07
163663852,B06,16146965,Alarms,12/31/2016,12/31/2016,12/31/2016 11:09:15 PM,12/31/2016 11:12:48 PM,12/31/2016 11:13:04 PM,12/31/2016 11:15:14 PM,,,,Fire,12/31/2016 11:19:30 PM,1000 Block of SOUTH VAN NESS AVE,San Francisco,94110,B06,07,5455,3,3,3,false,Alarm,1,CHIEF,3,6,9,Mission,"(37.7563716216308, -122.416574134534)",163663852-B06
163663807,SJ114,16146964,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:03:48 PM,12/31/2016 11:03:48 PM,12/31/2016 11:05:04 PM,12/31/2016 11:05:31 PM,12/31/2016 11:18:24 PM,12/31/2016 11:20:17 PM,12/31/2016 11:26:30 PM,Code 2 Transport,01/01/2017 12:04:32 AM,CALIFORNIA ST/SPRING ST,San Francisco,94104,B01,13,1234,2,2,2,false,Non Life-threatening,1,PRIVATE,2,1,3,Financial District/South Beach,"(37.7927171318429, -122.403828000517)",163663807-SJ114
163663807,EMS6,16146964,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:03:48 PM,12/31/2016 11:03:48 PM,12/31/2016 11:05:04 PM,12/31/2016 11:05:19 PM,12/31/2016 11:11:03 PM,,,Code 2 Transport,12/31/2016 11:19:02 PM,CALIFORNIA ST/SPRING ST,San Francisco,94104,B01,13,1234,2,2,2,false,Non Life-threatening,1,CHIEF,1,1,3,Financial District/South Beach,"(37.7927171318429, -122.403828000517)",163663807-EMS6
163663776,E36,16146963,Medical Incident,12/31/2016,12/31/2016,12/31/2016 10:54:54 PM,12/31/2016 10:56:30 PM,12/31/2016 10:59:14 PM,12/31/2016 11:00:20 PM,12/31/2016 11:00:20 PM,,,Code 2 Transport,12/31/2016 11:03:17 PM,OCTAVIA ST/HAYES ST,San Francisco,94102,B02,36,3314,2,2,2,true,Potentially Life-Threatening,1,ENGINE,2,2,5,Hayes Valley,"(37.7766875550419, -122.424513700951)",163663776-E36
163663776,AM14,16146963,Medical Incident,12/31/2016,12/31/2016,12/31/2016 10:54:54 PM,12/31/2016 10:56:30 PM,12/31/2016 10:59:14 PM,12/31/2016 10:59:39 PM,12/31/2016 10:59:47 PM,12/31/2016 11:20:43 PM,12/31/2016 11:28:51 PM,Code 2 Transport,12/31/2016 11:59:11 PM,OCTAVIA ST/HAYES ST,San Francisco,94102,B02,36,3314,2,2,2,false,Potentially Life-Threatening,1,PRIVATE,1,2,5,Hayes Valley,"(37.7766875550419, -122.424513700951)",163663776-AM14
163663765,SJ111,16146962,Medical Incident,12/31/2016,12/31/2016,12/31/2016 10:54:11 PM,12/31/2016 10:54:59 PM,12/31/2016 10:58:29 PM,12/31/2016 10:58:45 PM,12/31/2016 11:07:51 PM,,,Patient Declined Transport,12/31/2016 11:27:09 PM,NEW MONTGOMERY ST/JESSIE ST,San Francisco,94105,B03,01,2158,2,2,2,false,Non Life-threatening,1,PRIVATE,1,3,6,Financial District/South Beach,"(37.7878896127727, -122.401043044615)",163663765-SJ111
163663765,KM204,16146962,Medical Incident,12/31/2016,12/31/2016,12/31/2016 10:54:11 PM,12/31/2016 10:54:59 PM,12/31/2016 10:58:29 PM,12/31/2016 11:00:06 PM,12/31/2016 11:13:30 PM,,,Patient Declined Transport,12/31/2016 11:27:09 PM,NEW MONTGOMERY ST/JESSIE ST,San Francisco,94105,B03,01,2158,2,2,2,false,Non Life-threatening,1,PRIVATE,2,3,6,Financial District/South Beach,"(37.7878896127727, -122.401043044615)",163663765-KM204
163663762,KM11,16146961,Medical Incident,12/31/2016,12/31/2016,12/31/2016 10:52:44 PM,12/31/2016 10:54:43 PM,12/31/2016 10:55:51 PM,12/31/2016 10:56:24 PM,12/31/2016 10:58:40 PM,12/31/2016 11:10:59 PM,12/31/2016 11:16:54 PM,Code 2 Transport,12/31/2016 11:44:29 PM,500 Block of 9TH AVE,San Francisco,94118,B07,31,7134,2,3,3,false,Potentially Life-Threatening,1,PRIVATE,2,7,1,Inner Richmond,"(37.7780199573379, -122.46721811593)",163663762-KM11
163663762,E31,16146961,Medical Incident,12/31/2016,12/31/2016,12/31/2016 10:52:44 PM,12/31/2016 10:54:43 PM,12/31/2016 10:55:51 PM,12/31/2016 10:56:46 PM,12/31/2016 10:58:26 PM,,,Code 2 Transport,12/31/2016 11:05:02 PM,500 Block of 9TH AVE,San Francisco,94118,B07,31,7134,2,3,3,true,Potentially Life-Threatening,1,ENGINE,1,7,1,Inner Richmond,"(37.7780199573379, -122.46721811593)",163663762-E31
